variavel_1,variavel_2,correlacao
manager_support_score,burnout_score,-0.168501
phq9_score,seeks_mental_health_support,0.166656
seeks_mental_health_support,phq9_score,0.166656
burnout_score,salary_usd,0.162126
salary_usd,burnout_score,0.162126
social_support_score,stress_score,-0.155379
stress_score,social_support_score,-0.155379
stress_score,work_life_balance_score,-0.149155
work_life_balance_score,stress_score,-0.149155
salary_usd,work_hours_per_week,0.145491
work_hours_per_week,salary_usd,0.145491
deadline_pressure_score,burnout_score,0.142685
burnout_score,deadline_pressure_score,0.142685
exercise_days_per_week,stress_score,-0.141053
stress_score,exercise_days_per_week,-0.141053
gad7_score,uses_therapy,-0.140411
uses_therapy,gad7_score,-0.140411
social_support_score,gad7_score,-0.139593
gad7_score,social_support_score,-0.139593
phq9_score,uses_therapy,-0.13896
uses_therapy,phq9_score,-0.13896
seeks_mental_health_support,gad7_score,0.132144
gad7_score,seeks_mental_health_support,0.132144
job_change_intention,job_satisfaction_score,-0.126952
job_satisfaction_score,job_change_intention,-0.126952
gad7_score,ai_tools_daily,0.120684
ai_tools_daily,gad7_score,0.120684
stress_score,manager_support_score,-0.113131
manager_support_score,stress_score,-0.113131
job_change_intention,work_hours_per_week,0.11281
work_hours_per_week,job_change_intention,0.11281
seeks_mental_health_support,meetings_per_day,0.109123
meetings_per_day,seeks_mental_health_support,0.109123
phq9_score,salary_usd,0.108874
salary_usd,phq9_score,0.108874
phq9_score,manager_support_score,-0.106737
manager_support_score,phq9_score,-0.106737
seeks_mental_health_support,work_hours_per_week,0.106304
work_hours_per_week,seeks_mental_health_support,0.106304
gad7_score,salary_usd,0.105917
salary_usd,gad7_score,0.105917
meetings_per_day,job_change_intention,0.104207
job_change_intention,meetings_per_day,0.104207
team_size,salary_usd,0.093621
salary_usd,team_size,0.093621
sleep_hours_per_night,job_change_intention,-0.090988
job_change_intention,sleep_hours_per_night,-0.090988
deadline_pressure_score,phq9_score,0.089786
phq9_score,deadline_pressure_score,0.089786
phq9_score,therapy_access,-0.085207
therapy_access,phq9_score,-0.085207
autonomy_score,burnout_score,-0.084505
burnout_score,autonomy_score,-0.084505
therapy_access,gad7_score,-0.083743
gad7_score,therapy_access,-0.083743
meetings_per_day,job_satisfaction_score,0.078871
job_satisfaction_score,meetings_per_day,0.078871
sleep_hours_per_night,seeks_mental_health_support,-0.076548
seeks_mental_health_support,sleep_hours_per_night,-0.076548
vacation_days_taken,job_change_intention,-0.072083
job_change_intention,vacation_days_taken,-0.072083
seeks_mental_health_support,vacation_days_taken,-0.068762
vacation_days_taken,seeks_mental_health_support,-0.068762
social_support_score,seeks_mental_health_support,-0.065909
seeks_mental_health_support,social_support_score,-0.065909
job_change_intention,exercise_days_per_week,-0.060091
exercise_days_per_week,job_change_intention,-0.060091
job_satisfaction_score,stress_score,0.058923
stress_score,job_satisfaction_score,0.058923
social_support_score,autonomy_score,-0.057255
autonomy_score,social_support_score,-0.057255
burnout_score,job_satisfaction_score,0.056128
job_satisfaction_score,burnout_score,0.056128
uses_therapy,burnout_score,-0.055849
burnout_score,uses_therapy,-0.055849
gad7_score,autonomy_score,-0.053769
autonomy_score,gad7_score,-0.053769
seeks_mental_health_support,exercise_days_per_week,-0.053072
exercise_days_per_week,seeks_mental_health_support,-0.053072
job_satisfaction_score,work_hours_per_week,0.052892
work_hours_per_week,job_satisfaction_score,0.052892
manager_support_score,job_change_intention,-0.05248
job_change_intention,manager_support_score,-0.05248
stress_score,autonomy_score,-0.050457
autonomy_score,stress_score,-0.050457
salary_usd,job_change_intention,-0.049524
job_change_intention,salary_usd,-0.049524
job_change_intention,seeks_mental_health_support,0.049242
seeks_mental_health_support,job_change_intention,0.049242
deadline_pressure_score,job_change_intention,0.047368
job_change_intention,deadline_pressure_score,0.047368
burnout_score,ai_tools_daily,0.046055
ai_tools_daily,burnout_score,0.046055
job_change_intention,social_support_score,-0.044451
social_support_score,job_change_intention,-0.044451
phq9_score,job_satisfaction_score,0.039631
job_satisfaction_score,phq9_score,0.039631
autonomy_score,work_life_balance_score,-0.038824
work_life_balance_score,autonomy_score,-0.038824
salary_usd,seeks_mental_health_support,0.038306
seeks_mental_health_support,salary_usd,0.038306
manager_support_score,seeks_mental_health_support,-0.037397
seeks_mental_health_support,manager_support_score,-0.037397
job_satisfaction_score,gad7_score,0.03675
gad7_score,job_satisfaction_score,0.03675
burnout_score,therapy_access,-0.035772
therapy_access,burnout_score,-0.035772
stress_score,uses_therapy,-0.035567
uses_therapy,stress_score,-0.035567
phq9_score,ai_tools_daily,0.031381
ai_tools_daily,phq9_score,0.031381
social_support_score,work_life_balance_score,0.031194
work_life_balance_score,social_support_score,0.031194
deadline_pressure_score,seeks_mental_health_support,0.030988
seeks_mental_health_support,deadline_pressure_score,0.030988
ai_tools_daily,stress_score,0.030985
stress_score,ai_tools_daily,0.030985
job_satisfaction_score,team_size,0.029432
team_size,job_satisfaction_score,0.029432
autonomy_score,job_change_intention,-0.028656
job_change_intention,autonomy_score,-0.028656
job_change_intention,uses_therapy,-0.022908
uses_therapy,job_change_intention,-0.022908
stress_score,therapy_access,-0.02273
therapy_access,stress_score,-0.02273
phq9_score,work_life_balance_score,-0.021312
work_life_balance_score,phq9_score,-0.021312
autonomy_score,seeks_mental_health_support,-0.018492
seeks_mental_health_support,autonomy_score,-0.018492
job_change_intention,therapy_access,-0.016217
therapy_access,job_change_intention,-0.016217
ai_tools_daily,job_change_intention,0.015772
job_change_intention,ai_tools_daily,0.015772
phq9_score,autonomy_score,-0.014941
autonomy_score,phq9_score,-0.014941
uses_therapy,salary_usd,0.009127
salary_usd,uses_therapy,0.009127
seeks_mental_health_support,job_satisfaction_score,0.008753
job_satisfaction_score,seeks_mental_health_support,0.008753
seeks_mental_health_support,ai_tools_daily,0.008607
ai_tools_daily,seeks_mental_health_support,0.008607
age,exercise_days_per_week,0.007988
exercise_days_per_week,age,0.007988
years_at_company,sleep_hours_per_night,-0.007566
sleep_hours_per_night,years_at_company,-0.007566
team_size,job_change_intention,-0.007447
job_change_intention,team_size,-0.007447
exercise_days_per_week,years_experience,0.007041
years_experience,exercise_days_per_week,0.007041
years_at_company,manager_support_score,0.006851
manager_support_score,years_at_company,0.006851
sleep_hours_per_night,work_hours_per_week,0.006383
work_hours_per_week,sleep_hours_per_night,0.006383
therapy_access,salary_usd,0.006177
salary_usd,therapy_access,0.006177
years_experience,ai_tools_daily,0.006153
ai_tools_daily,years_experience,0.006153
ai_tools_daily,team_size,-0.006144
team_size,ai_tools_daily,-0.006144
age,ai_tools_daily,0.005934
ai_tools_daily,age,0.005934
salary_usd,years_at_company,-0.005711
years_at_company,salary_usd,-0.005711
manager_support_score,therapy_access,-0.005533
therapy_access,manager_support_score,-0.005533
job_change_intention,work_life_balance_score,0.00551
work_life_balance_score,job_change_intention,0.00551
years_at_company,work_life_balance_score,0.005235
work_life_balance_score,years_at_company,0.005235
salary_usd,manager_support_score,0.005209
manager_support_score,salary_usd,0.005209
job_change_intention,years_at_company,0.005174
years_at_company,job_change_intention,0.005174
manager_support_score,work_life_balance_score,-0.005168
work_life_balance_score,manager_support_score,-0.005168
salary_usd,vacation_days_taken,-0.004989
vacation_days_taken,salary_usd,-0.004989
age,manager_support_score,-0.004768
manager_support_score,age,-0.004768
work_life_balance_score,years_experience,0.004625
years_experience,work_life_balance_score,0.004625
deadline_pressure_score,social_support_score,0.004513
social_support_score,deadline_pressure_score,0.004513
ai_tools_daily,salary_usd,-0.004485
salary_usd,ai_tools_daily,-0.004485
uses_therapy,ai_tools_daily,-0.004454
ai_tools_daily,uses_therapy,-0.004454
work_life_balance_score,age,0.004444
age,work_life_balance_score,0.004444
manager_support_score,years_experience,-0.00442
years_experience,manager_support_score,-0.00442
meetings_per_day,therapy_access,0.004363
therapy_access,meetings_per_day,0.004363
autonomy_score,years_at_company,0.004312
years_at_company,autonomy_score,0.004312
therapy_access,ai_tools_daily,-0.004292
ai_tools_daily,therapy_access,-0.004292
ai_tools_daily,manager_support_score,-0.004253
team_size,years_at_company,-0.004253
years_at_company,team_size,-0.004253
manager_support_score,ai_tools_daily,-0.004253
meetings_per_day,social_support_score,-0.004183
social_support_score,meetings_per_day,-0.004183
ai_tools_daily,sleep_hours_per_night,-0.004128
sleep_hours_per_night,ai_tools_daily,-0.004128
meetings_per_day,work_life_balance_score,-0.004121
work_life_balance_score,meetings_per_day,-0.004121
ai_tools_daily,work_hours_per_week,-0.004119
work_hours_per_week,ai_tools_daily,-0.004119
age,work_hours_per_week,0.004106
work_hours_per_week,age,0.004106
social_support_score,therapy_access,0.004049
therapy_access,social_support_score,0.004049
team_size,autonomy_score,-0.004035
autonomy_score,team_size,-0.004035
uses_therapy,job_satisfaction_score,0.004001
job_satisfaction_score,uses_therapy,0.004001
social_support_score,years_at_company,-0.003827
years_at_company,social_support_score,-0.003827
years_experience,work_hours_per_week,0.003825
work_hours_per_week,years_experience,0.003825
meetings_per_day,autonomy_score,0.003798
autonomy_score,meetings_per_day,0.003798
vacation_days_taken,years_at_company,0.003781
years_at_company,vacation_days_taken,0.003781
sleep_hours_per_night,age,0.003765
age,sleep_hours_per_night,0.003765
autonomy_score,manager_support_score,0.003764
manager_support_score,autonomy_score,0.003764
autonomy_score,age,0.003701
age,autonomy_score,0.003701
meetings_per_day,team_size,0.003443
team_size,meetings_per_day,0.003443
therapy_access,job_satisfaction_score,0.00344
job_satisfaction_score,therapy_access,0.00344
uses_therapy,meetings_per_day,0.003438
meetings_per_day,uses_therapy,0.003438
age,vacation_days_taken,0.003434
vacation_days_taken,age,0.003434
team_size,work_life_balance_score,0.003418
work_life_balance_score,team_size,0.003418
vacation_days_taken,years_experience,0.003412
autonomy_score,years_experience,0.003412
years_experience,autonomy_score,0.003412
years_experience,vacation_days_taken,0.003412
vacation_days_taken,manager_support_score,-0.003386
manager_support_score,vacation_days_taken,-0.003386
deadline_pressure_score,ai_tools_daily,-0.003353
ai_tools_daily,deadline_pressure_score,-0.003353
phq9_score,team_size,-0.003352
team_size,phq9_score,-0.003352
sleep_hours_per_night,therapy_access,0.003307
therapy_access,sleep_hours_per_night,0.003307
ai_tools_daily,vacation_days_taken,0.0033
vacation_days_taken,ai_tools_daily,0.0033
manager_support_score,uses_therapy,-0.003209
uses_therapy,manager_support_score,-0.003209
vacation_days_taken,therapy_access,-0.003127
therapy_access,vacation_days_taken,-0.003127
exercise_days_per_week,ai_tools_daily,0.003061
ai_tools_daily,exercise_days_per_week,0.003061
work_life_balance_score,work_hours_per_week,0.003059
work_hours_per_week,work_life_balance_score,0.003059
sleep_hours_per_night,years_experience,0.003027
years_experience,sleep_hours_per_night,0.003027
work_hours_per_week,uses_therapy,0.003019
uses_therapy,work_hours_per_week,0.003019
years_at_company,stress_score,-0.003011
stress_score,years_at_company,-0.003011
social_support_score,years_experience,0.002996
years_experience,social_support_score,0.002996
years_at_company,years_experience,0.002939
years_experience,years_at_company,0.002939
years_at_company,uses_therapy,-0.002915
uses_therapy,years_at_company,-0.002915
seeks_mental_health_support,team_size,-0.002901
team_size,seeks_mental_health_support,-0.002901
work_life_balance_score,ai_tools_daily,0.002889
ai_tools_daily,work_life_balance_score,0.002889
team_size,therapy_access,-0.002796
therapy_access,team_size,-0.002796
ai_tools_daily,years_at_company,-0.002791
years_at_company,ai_tools_daily,-0.002791
seeks_mental_health_support,age,-0.00276
age,seeks_mental_health_support,-0.00276
therapy_access,autonomy_score,-0.002746
autonomy_score,therapy_access,-0.002746
burnout_score,years_experience,-0.002742
years_experience,burnout_score,-0.002742
exercise_days_per_week,uses_therapy,0.002717
uses_therapy,exercise_days_per_week,0.002717
seeks_mental_health_support,years_at_company,-0.002711
years_at_company,seeks_mental_health_support,-0.002711
age,years_at_company,0.002691
years_at_company,age,0.002691
phq9_score,years_at_company,-0.002644
years_at_company,phq9_score,-0.002644
meetings_per_day,vacation_days_taken,-0.002629
vacation_days_taken,meetings_per_day,-0.002629
age,burnout_score,-0.002619
burnout_score,age,-0.002619
years_experience,seeks_mental_health_support,-0.002618
seeks_mental_health_support,years_experience,-0.002618
uses_therapy,autonomy_score,-0.002591
autonomy_score,uses_therapy,-0.002591
vacation_days_taken,uses_therapy,-0.002546
uses_therapy,vacation_days_taken,-0.002546
uses_therapy,team_size,-0.002508
team_size,uses_therapy,-0.002508
work_life_balance_score,vacation_days_taken,-0.002507
vacation_days_taken,work_life_balance_score,-0.002507
years_experience,therapy_access,-0.002504
therapy_access,years_experience,-0.002504
phq9_score,age,-0.002496
age,phq9_score,-0.002496
social_support_score,exercise_days_per_week,0.002494
exercise_days_per_week,social_support_score,0.002494
years_at_company,meetings_per_day,-0.002469
meetings_per_day,years_at_company,-0.002469
work_life_balance_score,exercise_days_per_week,0.002361
exercise_days_per_week,work_life_balance_score,0.002361
sleep_hours_per_night,uses_therapy,-0.002347
uses_therapy,sleep_hours_per_night,-0.002347
social_support_score,age,0.002328
age,social_support_score,0.002328
social_support_score,work_hours_per_week,0.002284
work_hours_per_week,social_support_score,0.002284
age,therapy_access,-0.002267
therapy_access,age,-0.002267
autonomy_score,sleep_hours_per_night,-0.002237
sleep_hours_per_night,autonomy_score,-0.002237
team_size,deadline_pressure_score,-0.00222
deadline_pressure_score,team_size,-0.00222
job_satisfaction_score,autonomy_score,-0.002151
autonomy_score,job_satisfaction_score,-0.002151
exercise_days_per_week,deadline_pressure_score,0.002139
deadline_pressure_score,exercise_days_per_week,0.002139
sleep_hours_per_night,social_support_score,-0.002123
social_support_score,sleep_hours_per_night,-0.002123
team_size,manager_support_score,-0.002098
manager_support_score,team_size,-0.002098
exercise_days_per_week,work_hours_per_week,-0.002077
work_hours_per_week,exercise_days_per_week,-0.002077
job_satisfaction_score,vacation_days_taken,-0.002027
vacation_days_taken,job_satisfaction_score,-0.002027
sleep_hours_per_night,manager_support_score,-0.00201
manager_support_score,sleep_hours_per_night,-0.00201
gad7_score,team_size,-0.002008
team_size,gad7_score,-0.002008
salary_usd,social_support_score,0.001992
social_support_score,salary_usd,0.001992
exercise_days_per_week,job_satisfaction_score,0.001982
job_satisfaction_score,exercise_days_per_week,0.001982
uses_therapy,deadline_pressure_score,0.001853
deadline_pressure_score,uses_therapy,0.001853
sleep_hours_per_night,deadline_pressure_score,-0.001833
deadline_pressure_score,sleep_hours_per_night,-0.001833
social_support_score,ai_tools_daily,-0.001808
ai_tools_daily,social_support_score,-0.001808
years_experience,phq9_score,-0.0018
phq9_score,years_experience,-0.0018
autonomy_score,ai_tools_daily,-0.001794
ai_tools_daily,autonomy_score,-0.001794
salary_usd,years_experience,0.001682
years_experience,salary_usd,0.001682
years_at_company,work_hours_per_week,-0.001678
work_hours_per_week,years_at_company,-0.001678
meetings_per_day,ai_tools_daily,0.001625
ai_tools_daily,meetings_per_day,0.001625
years_at_company,burnout_score,-0.001618
burnout_score,years_at_company,-0.001618
team_size,social_support_score,0.001615
social_support_score,team_size,0.001615
deadline_pressure_score,years_experience,0.001609
years_experience,deadline_pressure_score,0.001609
job_satisfaction_score,work_life_balance_score,0.001607
work_life_balance_score,job_satisfaction_score,0.001607
salary_usd,sleep_hours_per_night,-0.001603
sleep_hours_per_night,salary_usd,-0.001603
autonomy_score,work_hours_per_week,0.00156
work_hours_per_week,autonomy_score,0.00156
stress_score,age,-0.001503
age,stress_score,-0.001503
vacation_days_taken,deadline_pressure_score,-0.001448
deadline_pressure_score,vacation_days_taken,-0.001448
years_experience,stress_score,-0.00141
years_at_company,therapy_access,-0.00141
stress_score,years_experience,-0.00141
therapy_access,years_at_company,-0.00141
seeks_mental_health_support,work_life_balance_score,-0.00133
work_life_balance_score,seeks_mental_health_support,-0.00133
age,uses_therapy,-0.001325
uses_therapy,age,-0.001325
deadline_pressure_score,job_satisfaction_score,-0.001321
job_satisfaction_score,deadline_pressure_score,-0.001321
sleep_hours_per_night,exercise_days_per_week,0.00129
exercise_days_per_week,sleep_hours_per_night,0.00129
salary_usd,age,0.001283
age,salary_usd,0.001283
age,gad7_score,-0.001276
gad7_score,age,-0.001276
exercise_days_per_week,vacation_days_taken,0.001268
vacation_days_taken,exercise_days_per_week,0.001268
autonomy_score,deadline_pressure_score,-0.001245
deadline_pressure_score,autonomy_score,-0.001245
team_size,burnout_score,0.001238
burnout_score,team_size,0.001238
years_experience,uses_therapy,-0.001179
uses_therapy,years_experience,-0.001179
meetings_per_day,manager_support_score,0.001173
manager_support_score,meetings_per_day,0.001173
autonomy_score,salary_usd,-0.001152
salary_usd,autonomy_score,-0.001152
meetings_per_day,sleep_hours_per_night,-0.001148
sleep_hours_per_night,meetings_per_day,-0.001148
age,meetings_per_day,0.001139
years_at_company,exercise_days_per_week,0.001139
meetings_per_day,age,0.001139
exercise_days_per_week,years_at_company,0.001139
job_satisfaction_score,age,-0.001133
age,job_satisfaction_score,-0.001133
sleep_hours_per_night,job_satisfaction_score,0.001094
job_satisfaction_score,sleep_hours_per_night,0.001094
salary_usd,work_life_balance_score,0.001087
work_life_balance_score,salary_usd,0.001087
therapy_access,work_life_balance_score,-0.001002
work_life_balance_score,therapy_access,-0.001002
salary_usd,exercise_days_per_week,-0.000997
exercise_days_per_week,salary_usd,-0.000997
deadline_pressure_score,work_hours_per_week,0.000989
work_hours_per_week,deadline_pressure_score,0.000989
exercise_days_per_week,meetings_per_day,-0.000964
meetings_per_day,exercise_days_per_week,-0.000964
social_support_score,manager_support_score,-0.000954
manager_support_score,social_support_score,-0.000954
job_satisfaction_score,years_experience,-0.00091
years_experience,job_satisfaction_score,-0.00091
work_life_balance_score,gad7_score,0.000815
gad7_score,work_life_balance_score,0.000815
age,job_change_intention,-0.000767
job_change_intention,age,-0.000767
years_at_company,job_satisfaction_score,-0.000759
job_satisfaction_score,years_at_company,-0.000759
vacation_days_taken,autonomy_score,0.000722
autonomy_score,vacation_days_taken,0.000722
salary_usd,deadline_pressure_score,-0.000718
deadline_pressure_score,salary_usd,-0.000718
work_hours_per_week,vacation_days_taken,0.000713
vacation_days_taken,work_hours_per_week,0.000713
exercise_days_per_week,autonomy_score,-0.000709
autonomy_score,exercise_days_per_week,-0.000709
burnout_score,work_life_balance_score,0.000702
work_life_balance_score,burnout_score,0.000702
years_experience,gad7_score,-0.000697
gad7_score,years_experience,-0.000697
uses_therapy,work_life_balance_score,-0.000689
work_life_balance_score,uses_therapy,-0.000689
work_life_balance_score,sleep_hours_per_night,0.000685
sleep_hours_per_night,work_life_balance_score,0.000685
exercise_days_per_week,manager_support_score,-0.000646
manager_support_score,exercise_days_per_week,-0.000646
manager_support_score,job_satisfaction_score,-0.000619
job_satisfaction_score,manager_support_score,-0.000619
years_at_company,gad7_score,-0.000565
gad7_score,years_at_company,-0.000565
deadline_pressure_score,work_life_balance_score,-0.000564
work_life_balance_score,deadline_pressure_score,-0.000564
vacation_days_taken,social_support_score,-0.000491
social_support_score,vacation_days_taken,-0.000491
team_size,vacation_days_taken,0.000419
vacation_days_taken,team_size,0.000419
work_hours_per_week,team_size,0.00041
team_size,work_hours_per_week,0.00041
job_satisfaction_score,social_support_score,0.000378
social_support_score,job_satisfaction_score,0.000378
deadline_pressure_score,years_at_company,-0.000371
years_at_company,deadline_pressure_score,-0.000371
team_size,exercise_days_per_week,-0.000369
exercise_days_per_week,team_size,-0.000369
years_experience,meetings_per_day,0.000344
meetings_per_day,years_experience,0.000344
team_size,sleep_hours_per_night,-0.000326
sleep_hours_per_night,team_size,-0.000326
ai_tools_daily,job_satisfaction_score,0.000312
job_satisfaction_score,ai_tools_daily,0.000312
manager_support_score,deadline_pressure_score,-0.000282
deadline_pressure_score,manager_support_score,-0.000282
team_size,stress_score,0.000261
stress_score,team_size,0.000261
age,deadline_pressure_score,0.000243
deadline_pressure_score,age,0.000243
job_change_intention,years_experience,-0.000224
years_experience,job_change_intention,-0.000224
work_hours_per_week,therapy_access,-0.000218
therapy_access,work_hours_per_week,-0.000218
sleep_hours_per_night,vacation_days_taken,-0.000212
vacation_days_taken,sleep_hours_per_night,-0.000212
deadline_pressure_score,therapy_access,0.000175
therapy_access,deadline_pressure_score,0.000175
therapy_access,exercise_days_per_week,-0.000153
exercise_days_per_week,therapy_access,-0.000153
manager_support_score,work_hours_per_week,0.000152
work_hours_per_week,manager_support_score,0.000152
uses_therapy,social_support_score,-8.4e-05
social_support_score,uses_therapy,-8.4e-05
team_size,years_experience,-3.9e-05
years_experience,team_size,-3.9e-05
deadline_pressure_score,meetings_per_day,2.6e-05
meetings_per_day,deadline_pressure_score,2.6e-05
age,team_size,-7e-06
team_size,age,-7e-06
