dimensao,categoria,total_registros,stress_score_medio,burnout_score_medio,satisfacao_media,equilibrio_vida_trabalho_medio,apoio_gestor_medio,horas_semanais_media,sono_medio_horas,burnout_severe_pct,burnout_high_or_severe_pct,busca_suporte_mental_pct,intencao_troca_emprego_pct,usa_terapia_pct,uso_diario_ia_pct
job_role,Software Engineer,20080,7.0671,5.3878,4.7949,5.4134,5.8332,47.0871,6.1129,28.4512,47.8884,49.0139,32.3705,15.4831,73.491
seniority_level,Junior,20230,6.5252,4.8024,4.1589,5.42,5.7869,46.0852,6.0908,19.3426,38.873,47.1033,32.8077,14.9679,73.1537
seniority_level,Lead,11928,8.8575,7.4344,5.2553,5.4284,5.8461,50.0046,6.1149,59.7166,79.6781,58.3753,39.1683,15.4427,72.8873
seniority_level,Manager,9915,8.8703,7.4399,5.3494,5.4228,5.82,50.0251,6.0831,59.8991,79.3343,59.1125,37.9627,15.2799,73.0308
seniority_level,Mid,28092,6.5186,4.7686,4.6615,5.4229,5.789,46.026,6.1076,18.9876,38.2564,47.3266,30.1794,15.2285,73.0421
seniority_level,Principal,4983,6.9281,5.5293,5.3782,5.4327,5.8239,49.9035,6.108,28.7377,49.9097,50.1906,28.7778,15.9542,71.8643
seniority_level,Senior,24852,6.5303,4.7907,5.0649,5.4195,5.8084,46.0333,6.1065,19.4552,38.1056,46.8373,28.2352,14.9968,73.1209
company_size,Enterprise (5000+),15073,7.0459,5.3997,4.9721,5.4378,5.8164,47.1304,6.1032,28.5544,47.7012,49.3598,30.757,15.0269,72.7924
company_size,Large (1001-5000),22027,7.0682,5.4114,4.8776,5.4129,5.8051,47.1067,6.0976,28.5786,48.3498,50.0704,31.5885,15.1995,73.3146
company_size,Mid (201-1000),25062,7.0452,5.3812,4.8336,5.4188,5.8098,47.0976,6.107,28.4973,47.7655,49.3656,32.256,15.0946,72.9112
company_size,Small (51-200),18067,7.0742,5.4319,4.7845,5.415,5.781,47.0637,6.0981,28.8371,48.3423,50.6725,32.2466,15.3041,72.685
company_size,Startup (1-50),19771,7.0441,5.3906,4.73,5.4336,5.8121,47.1262,6.1051,28.4508,47.509,49.5321,32.8663,15.2951,73.2386
industry,AI / ML Startup,11957,7.3923,5.5915,4.8216,5.4169,5.8087,47.1112,6.1136,30.6766,50.5478,49.6947,32.6921,14.711,73.1203
industry,Consulting,7012,6.9673,5.3913,4.8258,5.425,5.7722,47.1248,6.0982,28.7507,48.3172,49.0873,31.4889,15.1169,73.474
industry,Cybersecurity,7900,6.8884,5.2907,4.8423,5.4299,5.8401,47.052,6.1125,27.557,46.0759,50.2152,30.4177,15.8228,73.0886
industry,E-commerce,12057,6.8755,5.267,4.8249,5.4249,5.7867,47.0836,6.1088,26.8807,45.5752,49.1499,31.5335,15.1779,72.2817
industry,Enterprise Software,6098,6.8986,5.3258,4.8333,5.466,5.7519,47.0423,6.1247,26.7465,46.3923,49.0981,31.3545,15.2017,73.9587
industry,Fintech,15064,7.3611,5.5761,4.8241,5.4157,5.8055,47.1292,6.0958,31.2799,50.8298,50.6373,33.2382,15.4939,72.8226
industry,Gaming,5936,7.3368,5.5424,4.848,5.4241,5.8457,47.0583,6.1032,30.5761,49.9495,50.3875,32.8336,15.2628,72.9447
industry,Healthcare Tech,10004,6.9047,5.3042,4.8576,5.4012,5.8176,47.0595,6.092,27.0392,46.5014,49.0804,31.9872,14.7641,72.8709
industry,SaaS / Cloud,19957,6.9006,5.334,4.8423,5.4239,5.8084,47.1432,6.0951,27.7296,47.0812,49.8221,31.7883,15.1776,73.0771
industry,Social Media / AdTech,4015,6.8953,5.3096,4.8344,5.4184,5.807,47.1945,6.0894,26.8244,46.6252,50.9589,31.5816,15.2677,73.1756
gender,Female,29759,7.0461,5.5205,4.8356,5.4309,5.8154,47.0898,6.1008,29.8229,49.585,52.9084,31.7853,15.182,73.1241
gender,Male,65243,7.0596,5.3411,4.8395,5.4181,5.8017,47.107,6.1033,27.9907,47.0165,48.1048,32.1368,15.1419,72.955
gender,Non-binary,3994,7.0926,5.5499,4.7998,5.4311,5.7788,47.1838,6.0988,29.3941,51.1768,53.4552,31.4972,15.8488,72.684
gender,Prefer not to say,1004,6.9133,5.2284,4.6475,5.4354,5.8157,47.0229,6.1008,26.3944,46.1155,52.1912,31.6733,15.4382,74.1036
