variavel,age,years_experience,years_at_company,salary_usd,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score,stress_score,burnout_score,phq9_score,gad7_score,therapy_access,uses_therapy,ai_tools_daily,seeks_mental_health_support,job_change_intention
work_life_balance_score,0.004444,0.004625,0.005235,0.001087,0.003059,-0.004121,0.003418,0.000685,0.002361,-0.002507,-0.005168,1.0,0.001607,0.031194,-0.000564,-0.038824,-0.149155,0.000702,-0.021312,0.000815,-0.001002,-0.000689,0.002889,-0.00133,0.00551
job_satisfaction_score,-0.001133,-0.00091,-0.000759,0.378382,0.052892,0.078871,0.029432,0.001094,0.001982,-0.002027,-0.000619,0.001607,1.0,0.000378,-0.001321,-0.002151,0.058923,0.056128,0.039631,0.03675,0.00344,0.004001,0.000312,0.008753,-0.126952
social_support_score,0.002328,0.002996,-0.003827,0.001992,0.002284,-0.004183,0.001615,-0.002123,0.002494,-0.000491,-0.000954,0.031194,0.000378,1.0,0.004513,-0.057255,-0.155379,-0.219937,-0.360211,-0.139593,0.004049,-8.4e-05,-0.001808,-0.065909,-0.044451
deadline_pressure_score,0.000243,0.001609,-0.000371,-0.000718,0.000989,2.6e-05,-0.00222,-0.001833,0.002139,-0.001448,-0.000282,-0.000564,-0.001321,0.004513,1.0,-0.001245,0.316349,0.142685,0.089786,0.273879,0.000175,0.001853,-0.003353,0.030988,0.047368
autonomy_score,0.003701,0.003412,0.004312,-0.001152,0.00156,0.003798,-0.004035,-0.002237,-0.000709,0.000722,0.003764,-0.038824,-0.002151,-0.057255,-0.001245,1.0,-0.050457,-0.084505,-0.014941,-0.053769,-0.002746,-0.002591,-0.001794,-0.018492,-0.028656
stress_score,-0.001503,-0.00141,-0.003011,0.170794,0.374966,0.610844,0.000261,-0.231635,-0.141053,-0.191458,-0.113131,-0.149155,0.058923,-0.155379,0.316349,-0.050457,1.0,0.853803,0.600232,0.634379,-0.02273,-0.035567,0.030985,0.189891,0.213578
burnout_score,-0.002619,-0.002742,-0.001618,0.162126,0.47405,0.455603,0.001238,-0.338268,-0.206069,-0.279164,-0.168501,0.000702,0.056128,-0.219937,0.142685,-0.084505,0.853803,1.0,0.716383,0.716728,-0.035772,-0.055849,0.046055,0.220514,0.252827
phq9_score,-0.002496,-0.0018,-0.002644,0.108874,0.309722,0.299863,-0.003352,-0.21599,-0.223005,-0.182346,-0.106737,-0.021312,0.039631,-0.360211,0.089786,-0.014941,0.600232,0.716383,1.0,0.536753,-0.085207,-0.13896,0.031381,0.166656,0.178464
gad7_score,-0.001276,-0.000697,-0.000565,0.105917,0.304258,0.294439,-0.002008,-0.214834,-0.22153,-0.174346,-0.270401,0.000815,0.03675,-0.139593,0.273879,-0.053769,0.634379,0.716728,0.536753,1.0,-0.083743,-0.140411,0.120684,0.132144,0.209108
therapy_access,-0.002267,-0.002504,-0.00141,0.006177,-0.000218,0.004363,-0.002796,0.003307,-0.000153,-0.003127,-0.005533,-0.001002,0.00344,0.004049,0.000175,-0.002746,-0.02273,-0.035772,-0.085207,-0.083743,1.0,0.588713,-0.004292,0.266794,-0.016217
uses_therapy,-0.001325,-0.001179,-0.002915,0.009127,0.003019,0.003438,-0.002508,-0.002347,0.002717,-0.002546,-0.003209,-0.000689,0.004001,-8.4e-05,0.001853,-0.002591,-0.035567,-0.055849,-0.13896,-0.140411,0.588713,1.0,-0.004454,0.237831,-0.022908
ai_tools_daily,0.005934,0.006153,-0.002791,-0.004485,-0.004119,0.001625,-0.006144,-0.004128,0.003061,0.0033,-0.004253,0.002889,0.000312,-0.001808,-0.003353,-0.001794,0.030985,0.046055,0.031381,0.120684,-0.004292,-0.004454,1.0,0.008607,0.015772
seeks_mental_health_support,-0.00276,-0.002618,-0.002711,0.038306,0.106304,0.109123,-0.002901,-0.076548,-0.053072,-0.068762,-0.037397,-0.00133,0.008753,-0.065909,0.030988,-0.018492,0.189891,0.220514,0.166656,0.132144,0.266794,0.237831,0.008607,1.0,0.049242
job_change_intention,-0.000767,-0.000224,0.005174,-0.049524,0.11281,0.104207,-0.007447,-0.090988,-0.060091,-0.072083,-0.05248,0.00551,-0.126952,-0.044451,0.047368,-0.028656,0.213578,0.252827,0.178464,0.209108,-0.016217,-0.022908,0.015772,0.049242,1.0
