stress_score,burnout_score,work_hours_per_week,sleep_hours_per_night,work_mode
8.6,9.4,50,5.8,Hybrid
4.5,3.8,51,7.0,Remote
10.0,10.0,55,6.3,Hybrid
8.1,6.9,46,4.9,Remote
3.3,1.1,46,5.9,On-site
4.2,0.3,40,7.1,On-site
10.0,9.2,47,7.0,Hybrid
6.4,2.5,41,6.9,Hybrid
10.0,4.6,48,8.4,On-site
7.1,6.5,52,6.1,Hybrid
5.1,1.8,37,6.4,Hybrid
9.8,9.0,44,6.9,Remote
6.9,3.4,47,7.9,Hybrid
10.0,9.6,44,5.9,Hybrid
10.0,8.8,54,6.4,Hybrid
9.9,8.0,48,6.7,Remote
6.0,4.0,41,6.4,Hybrid
6.0,4.1,45,7.5,Remote
8.2,7.9,40,6.1,Remote
8.7,8.6,54,5.0,On-site
6.7,4.9,46,8.6,Hybrid
7.8,8.1,54,7.3,Remote
4.2,1.9,43,6.1,On-site
4.1,3.2,45,5.2,Remote
6.5,2.8,47,6.6,Remote
10.0,10.0,57,5.4,Remote
10.0,10.0,48,4.0,Remote
5.9,5.1,41,5.5,Hybrid
6.3,5.1,47,4.8,On-site
2.4,2.3,45,4.8,On-site
6.7,5.8,47,5.3,Remote
6.8,3.9,42,7.5,On-site
10.0,7.2,48,6.1,Remote
9.7,5.5,40,6.4,Remote
6.8,7.1,47,6.5,Remote
9.5,8.1,48,4.7,Remote
8.8,7.2,49,6.1,On-site
5.5,6.7,46,6.0,Hybrid
5.7,4.4,40,4.7,Hybrid
2.3,0.5,47,7.0,Hybrid
7.7,5.2,51,5.7,Remote
9.1,7.0,59,6.8,Hybrid
4.6,1.8,48,6.5,Hybrid
8.7,7.6,54,5.0,Hybrid
10.0,9.2,50,6.0,Hybrid
10.0,10.0,53,8.0,On-site
4.0,4.7,46,5.8,Remote
2.8,0.0,48,5.6,Hybrid
8.7,6.7,50,5.7,Hybrid
7.9,7.4,48,4.4,Hybrid
5.2,0.2,45,7.7,Remote
10.0,10.0,55,5.1,Remote
6.5,5.3,47,4.4,Hybrid
5.8,6.1,56,7.1,Remote
7.6,5.0,49,7.5,Remote
3.6,2.1,45,5.8,Hybrid
3.5,0.2,40,7.7,Hybrid
9.6,7.4,49,3.8,Hybrid
7.3,3.8,44,7.1,Remote
6.8,4.3,49,7.4,On-site
7.0,5.8,47,5.8,On-site
7.0,3.7,47,6.1,Remote
8.2,4.5,54,7.3,Remote
8.3,4.0,44,6.1,Hybrid
5.6,5.2,50,7.3,Hybrid
4.8,1.8,51,6.0,Hybrid
3.9,2.5,49,8.1,Hybrid
9.9,8.1,55,7.0,Remote
10.0,8.4,45,6.0,Remote
6.9,6.0,44,4.4,Hybrid
8.3,6.8,51,7.2,Remote
5.6,4.1,53,6.3,Remote
5.7,0.0,35,6.3,On-site
5.4,2.4,48,7.2,Remote
5.1,2.5,40,6.1,Hybrid
6.1,7.0,47,6.0,Remote
10.0,10.0,50,5.4,Hybrid
9.5,9.7,53,6.5,Hybrid
8.0,5.1,40,6.5,Remote
2.3,0.9,41,6.0,On-site
2.5,1.7,44,6.3,Remote
10.0,9.7,51,7.0,Remote
10.0,5.9,40,7.4,On-site
8.9,7.7,44,6.4,On-site
9.3,9.6,43,5.6,Hybrid
9.8,9.0,48,5.3,Hybrid
6.7,4.2,44,5.8,Remote
5.3,2.1,38,6.2,Hybrid
7.7,4.7,51,4.5,Hybrid
4.4,3.0,39,5.8,On-site
7.8,5.5,41,4.3,Remote
6.7,7.1,44,5.0,Remote
6.0,3.2,41,6.3,Remote
5.3,4.0,50,5.5,Hybrid
6.3,3.6,46,8.1,Remote
4.3,1.4,41,6.1,Remote
10.0,10.0,46,4.5,Remote
6.7,4.8,48,5.2,Hybrid
9.1,6.8,50,6.0,On-site
9.7,6.7,41,5.8,Remote
9.5,8.3,54,5.5,Hybrid
3.6,1.1,51,6.1,Remote
3.5,0.0,35,6.9,Hybrid
8.5,6.9,46,6.2,Hybrid
7.9,5.4,40,6.6,Hybrid
10.0,10.0,52,4.2,Hybrid
8.3,7.7,50,5.2,Hybrid
8.7,7.4,46,5.8,Remote
7.6,5.5,50,7.1,Remote
7.7,5.6,51,7.5,On-site
5.6,4.7,46,6.7,On-site
10.0,10.0,61,5.1,Remote
7.1,5.6,45,4.5,Remote
7.2,3.9,46,7.3,Hybrid
6.7,4.4,51,7.9,Hybrid
7.4,6.5,54,5.5,Hybrid
8.9,7.7,55,5.2,Hybrid
9.5,10.0,53,4.9,Hybrid
4.2,1.0,43,6.8,Remote
4.7,1.5,35,6.1,Hybrid
10.0,9.3,57,6.6,Remote
4.5,2.1,46,5.9,Hybrid
9.9,7.2,50,8.9,Remote
8.0,6.7,50,5.7,Remote
5.9,4.3,45,5.9,Hybrid
8.5,7.4,48,5.5,Hybrid
8.8,10.0,60,6.3,Remote
8.2,5.0,46,5.3,On-site
2.7,1.8,49,6.4,Remote
6.4,2.0,39,7.5,Remote
6.1,4.6,49,7.2,On-site
8.8,7.4,56,7.5,Hybrid
9.5,7.7,54,4.5,Remote
7.2,7.4,44,5.3,On-site
5.9,5.1,42,6.2,Hybrid
6.8,6.0,49,5.9,On-site
8.4,5.2,48,6.2,Remote
9.6,9.5,47,4.0,Hybrid
8.8,8.2,42,4.7,On-site
4.0,4.2,54,5.3,On-site
8.8,7.9,50,6.7,On-site
8.2,6.7,42,5.4,Remote
6.1,4.8,53,6.5,Hybrid
9.8,10.0,44,4.4,Remote
3.8,1.0,43,5.7,Hybrid
6.3,3.4,46,5.8,Remote
2.3,0.0,45,8.8,Hybrid
2.7,0.3,36,5.5,Hybrid
8.3,8.1,49,6.9,On-site
10.0,8.7,46,6.9,Remote
8.6,6.3,53,6.3,Hybrid
8.6,8.5,44,4.5,Remote
9.1,7.2,45,6.2,Remote
8.4,7.5,54,5.3,Hybrid
2.6,1.9,41,7.0,On-site
6.1,6.7,54,6.1,Remote
9.4,8.0,49,6.6,Hybrid
5.7,4.5,42,6.8,Hybrid
10.0,7.7,54,5.2,Remote
10.0,10.0,43,5.3,Hybrid
6.7,4.4,44,5.0,Remote
4.0,0.7,35,6.5,Hybrid
6.3,4.2,46,8.0,Remote
8.0,4.1,46,6.1,On-site
6.9,6.2,38,5.7,Hybrid
10.0,9.2,54,6.5,Hybrid
4.8,0.0,42,6.3,Remote
8.4,4.0,47,6.0,Hybrid
10.0,9.0,58,7.4,Hybrid
3.6,0.2,47,6.5,On-site
10.0,10.0,53,5.4,Remote
10.0,7.3,49,5.6,On-site
9.6,9.6,47,4.9,Remote
8.2,8.7,50,4.9,Remote
7.4,0.4,43,7.0,On-site
3.6,1.1,40,5.9,On-site
9.9,5.6,48,6.6,Hybrid
8.1,6.9,52,5.9,On-site
7.5,5.0,50,7.0,Remote
8.2,2.9,44,5.6,On-site
8.7,5.8,43,5.9,On-site
9.0,7.1,54,6.0,Remote
10.0,6.9,49,5.5,Remote
7.5,4.5,35,6.6,Hybrid
6.6,3.8,43,6.8,Hybrid
10.0,10.0,62,4.1,On-site
7.8,7.0,53,6.3,Hybrid
8.8,5.5,46,7.8,Hybrid
7.0,9.3,49,5.6,Hybrid
7.5,6.2,44,6.6,Remote
7.9,4.0,50,5.6,On-site
9.3,8.6,55,6.4,Hybrid
9.0,6.9,43,6.0,Remote
6.7,3.6,39,6.6,Hybrid
9.5,7.5,54,4.6,Hybrid
10.0,8.8,53,5.9,Remote
6.3,4.0,50,6.3,Remote
7.7,8.2,45,5.2,Remote
7.4,5.5,48,5.4,On-site
9.2,8.1,45,5.6,Hybrid
10.0,9.4,44,6.4,Hybrid
7.6,7.9,43,5.6,Hybrid
9.8,10.0,50,5.5,On-site
10.0,9.0,55,5.4,Remote
6.6,3.5,48,7.0,Hybrid
7.4,5.8,48,5.4,Hybrid
10.0,8.1,54,6.3,Hybrid
3.0,1.3,56,7.4,Hybrid
4.6,2.8,45,6.3,Hybrid
4.5,1.2,44,3.8,Hybrid
4.4,2.2,45,6.8,Hybrid
7.7,6.2,48,6.0,Hybrid
10.0,8.8,60,5.8,On-site
6.3,6.0,47,5.9,Remote
4.9,1.1,44,6.9,Hybrid
10.0,8.5,53,6.2,On-site
5.8,4.0,41,6.9,On-site
7.3,1.6,39,5.6,On-site
9.3,7.7,45,6.5,Remote
10.0,7.2,52,6.2,Hybrid
10.0,6.9,52,6.6,Remote
9.2,10.0,56,4.3,Remote
4.7,1.2,44,7.5,Remote
7.3,6.6,49,7.2,Remote
6.8,5.1,47,6.0,On-site
3.2,2.5,44,7.1,On-site
4.6,4.1,46,4.7,On-site
6.9,4.3,45,6.6,Remote
6.2,1.1,40,7.3,On-site
7.3,4.2,43,6.0,On-site
5.8,3.2,48,6.1,On-site
5.0,3.2,40,7.1,Hybrid
10.0,9.1,49,5.0,Hybrid
7.9,5.3,50,6.2,Hybrid
5.5,4.3,36,4.6,On-site
4.4,2.1,47,7.0,On-site
7.9,5.5,43,6.2,Hybrid
10.0,8.5,49,4.9,Hybrid
8.3,4.4,48,8.0,Hybrid
8.0,7.7,54,5.1,Hybrid
7.6,5.8,62,8.4,Hybrid
5.1,1.8,46,6.4,Remote
5.8,2.6,46,7.1,Remote
10.0,9.2,49,7.3,Remote
7.4,5.8,46,6.5,Hybrid
7.8,5.0,38,5.5,Remote
9.2,8.7,54,5.4,On-site
8.7,5.7,52,7.4,Hybrid
6.2,2.0,39,6.0,Hybrid
10.0,10.0,54,6.1,On-site
7.2,4.8,49,6.8,Hybrid
9.4,4.2,48,7.5,On-site
4.7,4.8,53,7.2,On-site
8.4,7.9,41,6.3,On-site
7.9,6.5,53,6.2,Hybrid
10.0,10.0,47,5.2,On-site
9.7,9.6,58,5.1,Remote
6.8,6.8,48,5.7,Hybrid
2.8,2.2,49,5.5,Remote
3.7,3.3,49,5.8,Remote
4.3,2.4,45,8.1,Remote
7.2,5.5,44,5.8,On-site
6.9,5.4,55,5.2,Hybrid
9.9,9.3,54,5.9,Remote
4.7,0.0,37,5.1,On-site
10.0,8.9,44,5.0,Hybrid
6.5,4.0,44,6.5,Remote
9.6,5.1,48,7.2,Hybrid
10.0,10.0,54,6.1,Remote
4.8,4.7,51,8.0,On-site
10.0,9.4,55,6.5,Remote
9.9,9.2,50,5.9,Remote
7.3,3.9,47,8.4,Remote
6.9,2.9,37,7.2,Remote
7.2,6.8,51,7.1,Remote
8.7,6.7,52,5.6,Remote
10.0,8.7,57,5.5,Hybrid
6.8,5.3,49,5.6,Remote
10.0,9.9,55,4.9,Hybrid
8.1,6.5,41,3.7,On-site
6.7,5.7,58,5.8,Hybrid
5.6,3.6,47,4.8,Remote
5.7,2.3,44,7.1,On-site
1.0,0.0,37,6.3,Hybrid
7.5,5.0,47,6.7,Hybrid
7.5,7.0,46,7.1,On-site
9.9,8.0,51,7.4,On-site
5.4,1.1,48,7.2,Hybrid
8.3,6.2,49,7.3,Hybrid
8.6,7.9,57,6.1,On-site
5.8,2.9,47,7.9,Hybrid
6.0,6.3,47,5.3,Remote
7.6,6.8,41,7.0,On-site
6.6,4.8,51,6.6,On-site
4.9,0.6,45,5.5,On-site
4.7,2.7,44,6.4,Hybrid
6.1,3.8,55,6.2,Remote
10.0,9.1,49,6.5,Remote
2.0,2.6,37,7.4,Remote
4.8,4.1,50,7.0,Remote
10.0,7.5,51,7.2,Hybrid
5.5,3.6,42,5.8,Hybrid
10.0,10.0,49,5.5,Hybrid
6.3,5.3,45,5.0,Hybrid
3.6,2.0,43,3.7,Hybrid
6.7,4.2,40,4.2,Hybrid
7.7,6.9,43,6.4,Remote
7.7,5.3,48,7.1,Hybrid
3.9,1.5,43,7.4,Hybrid
6.8,6.9,50,7.6,On-site
10.0,10.0,45,6.4,On-site
3.3,3.2,42,6.6,Hybrid
4.8,1.9,45,7.2,Remote
10.0,9.3,49,5.0,Remote
9.5,5.6,47,7.7,Remote
6.3,3.7,41,7.7,Hybrid
9.3,9.7,53,6.2,Hybrid
10.0,10.0,53,7.2,On-site
5.6,3.2,52,6.4,Remote
7.3,5.5,55,8.0,Remote
7.3,7.3,52,6.1,On-site
2.5,1.0,39,5.6,Remote
7.9,5.8,55,6.9,On-site
4.8,3.4,49,6.1,Remote
8.9,9.1,45,4.7,Remote
8.9,7.6,46,4.5,Remote
10.0,8.2,51,7.8,Hybrid
2.4,0.7,44,6.2,Hybrid
9.7,5.6,49,6.8,Remote
7.8,8.1,39,4.6,Hybrid
5.1,3.6,37,5.5,On-site
9.4,7.0,48,6.2,Remote
6.2,4.6,44,5.3,Hybrid
8.4,6.6,35,6.1,Remote
8.1,7.5,50,6.6,Hybrid
2.0,0.0,50,6.8,Remote
5.2,4.6,57,6.5,Hybrid
6.7,3.7,47,7.3,Remote
9.8,6.4,52,7.3,On-site
7.4,8.8,52,5.0,Hybrid
8.4,7.3,53,5.6,On-site
10.0,9.7,52,5.2,Remote
10.0,8.0,45,5.2,On-site
6.5,5.0,40,5.8,Hybrid
8.5,5.3,41,7.1,Hybrid
8.5,7.0,47,5.8,On-site
5.1,3.2,52,6.5,Remote
9.5,10.0,49,5.2,On-site
6.3,3.8,43,5.6,Hybrid
9.3,9.4,43,4.3,Hybrid
10.0,8.6,43,4.2,Hybrid
6.6,4.7,52,6.2,Hybrid
8.1,8.4,60,5.2,Remote
6.3,4.8,45,5.8,Hybrid
8.2,6.0,49,5.4,Hybrid
5.5,5.0,50,6.1,Remote
8.3,6.6,50,4.5,Remote
5.4,0.2,45,8.8,Hybrid
8.2,7.2,54,6.9,On-site
5.7,2.4,43,5.8,Hybrid
9.6,6.6,62,5.6,On-site
8.9,7.7,46,5.0,On-site
5.6,4.9,47,4.5,Remote
6.0,3.3,39,4.9,On-site
3.0,0.5,41,6.5,Remote
6.5,4.0,55,7.3,Hybrid
6.4,5.8,45,6.7,On-site
9.5,7.9,54,6.0,Hybrid
10.0,7.9,48,6.0,Remote
5.5,4.4,50,6.1,Hybrid
5.8,4.1,47,6.1,Remote
9.4,10.0,53,6.5,Remote
6.4,3.8,40,7.2,On-site
2.5,1.4,47,7.3,On-site
8.8,8.8,47,3.0,Remote
7.8,5.6,54,6.2,On-site
10.0,10.0,63,5.3,Remote
4.9,0.2,47,8.5,On-site
7.7,4.8,47,7.4,On-site
5.1,3.1,42,4.9,On-site
9.0,6.8,49,8.9,Remote
9.2,7.9,47,4.9,On-site
8.3,7.9,55,5.4,Remote
4.9,5.0,56,5.8,Hybrid
10.0,8.5,50,6.6,Remote
7.5,7.4,48,4.4,On-site
8.8,8.6,59,6.2,Remote
8.6,7.6,44,5.9,Hybrid
7.4,4.3,47,5.8,Remote
8.9,7.4,53,5.3,On-site
10.0,9.9,56,6.8,Remote
8.4,4.3,50,7.0,Hybrid
6.8,6.1,50,5.9,Remote
10.0,8.8,46,6.8,Remote
5.7,6.4,48,6.3,Hybrid
4.3,1.6,38,7.0,Hybrid
7.6,4.8,43,5.2,Hybrid
7.4,5.1,43,6.5,Hybrid
10.0,10.0,58,7.0,Hybrid
7.3,6.2,43,6.5,Remote
10.0,9.8,49,5.4,Hybrid
2.5,2.0,54,7.2,On-site
8.5,5.8,47,4.7,Hybrid
5.8,4.0,55,6.3,On-site
6.8,6.2,55,7.4,Remote
10.0,9.6,53,6.6,Hybrid
7.1,6.7,45,5.2,On-site
9.9,7.8,49,7.3,Remote
10.0,6.8,56,6.1,Hybrid
4.6,1.7,41,6.1,On-site
6.1,4.8,44,5.3,On-site
10.0,10.0,56,6.1,Hybrid
7.9,5.1,46,5.0,Remote
7.0,6.4,52,7.7,Hybrid
10.0,10.0,49,5.6,Remote
6.3,6.1,45,5.6,Hybrid
10.0,7.4,54,4.8,Hybrid
7.4,3.9,57,6.8,Hybrid
5.4,3.8,57,7.5,Hybrid
5.9,2.9,45,6.0,Remote
10.0,10.0,50,4.3,Remote
2.1,0.2,40,6.1,Hybrid
7.3,7.6,52,5.3,On-site
9.6,7.8,56,6.1,Remote
3.8,1.1,41,7.1,Hybrid
9.7,9.0,51,7.3,Hybrid
10.0,9.4,53,4.7,Remote
9.5,5.6,50,7.6,Hybrid
8.5,6.1,49,7.8,On-site
5.5,4.1,47,8.0,On-site
7.9,6.1,38,5.9,Hybrid
10.0,8.7,60,7.5,Remote
6.4,5.5,39,5.7,Hybrid
8.0,10.0,51,3.6,Remote
8.9,9.2,57,7.5,Hybrid
8.7,7.3,53,7.1,Remote
10.0,7.2,51,4.8,Remote
10.0,5.9,47,7.3,Hybrid
8.1,5.5,49,7.1,Hybrid
4.5,3.7,49,5.1,Hybrid
2.8,0.9,41,6.2,Hybrid
2.2,0.2,42,7.3,On-site
8.0,8.0,48,7.0,Hybrid
10.0,9.2,45,4.6,Hybrid
6.7,4.7,46,6.8,Remote
6.5,5.2,51,7.7,On-site
10.0,7.6,54,7.1,Remote
6.6,5.4,48,6.1,Hybrid
5.1,1.0,37,6.6,Hybrid
10.0,7.5,40,7.1,Hybrid
6.4,6.3,49,4.7,On-site
4.9,2.1,45,7.7,Hybrid
9.2,7.9,49,5.0,Hybrid
7.5,6.5,44,5.3,Hybrid
6.7,4.5,54,5.9,Remote
8.2,7.0,51,6.0,Remote
8.3,6.1,49,7.5,Hybrid
8.3,8.2,52,7.2,Hybrid
5.7,6.1,47,4.9,Remote
10.0,10.0,48,5.3,Remote
3.8,0.7,44,7.8,Hybrid
7.9,6.0,46,5.8,Remote
4.1,2.0,40,6.2,Remote
3.3,0.9,35,5.7,Hybrid
6.0,3.6,53,7.9,Hybrid
7.0,6.5,46,5.0,Hybrid
5.9,3.6,45,8.9,Hybrid
6.7,8.4,55,7.2,Remote
3.1,3.2,41,5.6,Remote
6.9,4.3,42,5.5,Remote
7.4,6.0,43,5.7,Remote
5.3,4.4,49,4.9,On-site
6.5,5.0,46,6.7,Hybrid
9.7,7.6,51,5.1,Hybrid
8.6,5.0,42,6.1,On-site
5.5,3.0,44,6.7,On-site
7.3,4.9,41,4.6,Hybrid
6.8,5.5,53,8.0,Remote
4.4,2.8,43,4.6,On-site
7.2,8.0,48,4.4,Remote
7.7,4.9,44,6.7,Hybrid
6.8,6.0,48,7.6,Remote
3.8,0.0,36,8.0,Remote
6.6,4.5,49,4.1,On-site
7.9,3.7,41,5.3,Hybrid
10.0,7.5,45,5.7,On-site
8.3,5.8,43,6.3,Hybrid
9.4,9.9,45,5.4,Remote
7.4,6.6,49,6.2,Remote
5.5,5.8,48,5.1,Remote
8.8,7.5,54,5.7,Hybrid
10.0,10.0,54,4.9,Hybrid
9.2,6.7,48,6.7,On-site
8.9,5.2,53,7.8,Hybrid
10.0,10.0,51,5.6,On-site
6.2,4.9,40,6.9,Hybrid
3.9,0.4,48,5.0,Remote
6.2,4.6,35,6.2,Remote
5.8,5.0,50,6.8,On-site
6.0,2.2,46,6.1,Hybrid
6.0,2.7,46,5.6,On-site
3.5,0.6,41,7.3,On-site
9.9,7.0,47,6.6,On-site
9.5,8.6,55,5.9,Hybrid
10.0,5.5,53,7.2,Remote
7.2,5.1,43,7.5,Remote
9.8,7.0,48,5.5,On-site
8.2,4.3,51,5.7,Remote
6.0,4.4,43,4.9,Remote
5.0,3.6,50,6.5,Remote
5.8,3.2,47,7.7,Hybrid
9.6,8.0,51,6.8,Remote
3.0,0.0,38,7.4,Remote
10.0,10.0,54,6.0,Remote
5.7,4.4,41,6.2,Hybrid
10.0,10.0,49,5.9,Remote
8.6,6.0,44,5.8,On-site
6.8,3.1,42,5.9,Hybrid
3.6,2.1,36,6.3,Hybrid
9.1,7.5,49,6.4,On-site
4.4,4.4,49,5.0,Remote
8.2,8.7,50,5.1,Hybrid
4.6,4.5,44,5.3,Remote
3.6,1.6,45,5.5,On-site
7.8,5.0,48,6.5,On-site
4.0,3.0,45,5.6,On-site
6.3,3.0,52,6.7,Hybrid
5.6,4.2,46,7.5,Hybrid
5.0,3.0,47,6.7,On-site
7.1,7.7,49,6.8,Remote
7.4,7.4,47,5.9,On-site
6.3,1.9,41,5.8,Hybrid
9.8,7.1,53,6.5,Remote
7.7,8.1,44,7.1,Remote
5.5,3.9,36,6.7,Remote
9.3,7.4,42,6.4,Hybrid
5.3,4.2,49,6.4,Hybrid
3.4,0.7,46,7.5,Hybrid
9.9,6.3,49,6.1,Remote
8.9,6.3,52,7.9,On-site
8.0,6.9,47,5.2,On-site
8.5,6.8,43,4.5,On-site
8.1,5.0,40,5.2,Hybrid
9.5,9.0,58,5.9,Hybrid
3.9,2.8,46,5.4,Remote
4.7,3.6,40,7.0,Remote
5.1,3.4,46,5.6,On-site
5.3,2.1,49,7.4,Remote
5.7,6.2,51,6.5,Hybrid
6.9,5.2,45,5.5,Remote
4.0,4.1,44,6.2,Hybrid
6.9,5.3,45,4.6,On-site
7.7,5.3,58,6.1,Hybrid
6.6,5.5,42,5.0,Remote
6.7,3.5,44,5.5,Remote
8.3,6.9,52,6.1,Hybrid
4.1,1.9,50,5.6,Remote
4.2,0.2,40,7.2,On-site
8.8,7.6,46,7.3,Hybrid
8.7,6.7,44,7.2,Hybrid
6.0,5.1,47,6.8,Remote
8.8,5.7,57,6.6,Remote
6.9,7.2,52,6.4,On-site
6.7,6.2,48,6.9,Hybrid
10.0,10.0,49,6.8,Hybrid
6.0,2.8,48,5.6,Remote
8.1,6.4,48,4.5,On-site
8.8,7.3,45,7.2,Remote
10.0,8.7,50,4.2,Remote
4.8,1.5,35,6.1,On-site
6.7,4.3,44,5.6,Hybrid
6.2,6.0,54,6.3,On-site
8.9,8.5,58,6.8,On-site
9.1,6.9,39,5.1,On-site
6.2,5.2,50,5.9,On-site
7.0,6.3,48,5.9,Remote
8.3,5.9,47,6.1,Remote
