job_role,seniority_level,years_experience,years_at_company,company_size,industry,work_mode,salary_usd,work_hours_per_week,meetings_per_day,team_size,sleep_hours_per_night,exercise_days_per_week,vacation_days_taken,therapy_access,uses_therapy,ai_tools_daily,manager_support_score,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score
Software Engineer,Lead,25,9.3,Large (1001-5000),AI / ML Startup,Hybrid,49953,44,6.0,15,5.6,4,10,1,0,1,4.9,5.3,2.2,7.1,7.5,3.8
Software Engineer,Senior,17,1.2,Large (1001-5000),Healthcare Tech,Hybrid,131707,44,3.5,8,5.6,3,9,1,1,1,2.9,6.4,7.8,5.1,4.1,7.9
Cloud Engineer,Senior,2,0.6,Mid (201-1000),SaaS / Cloud,Remote,135297,39,4.0,9,7.7,7,12,1,1,1,3.6,5.2,5.3,7.4,6.7,7.3
Frontend Developer,Mid,9,0.7,Enterprise (5000+),SaaS / Cloud,Remote,40000,49,2.6,49,6.9,1,18,0,0,1,3.4,4.5,5.9,7.0,6.9,6.6
ML Engineer,Junior,5,1.8,Large (1001-5000),E-commerce,Hybrid,91389,47,4.3,8,6.8,7,12,0,0,1,5.2,7.4,3.6,4.6,9.2,2.4
Software Engineer,Senior,4,0.1,Small (51-200),Fintech,Remote,131841,54,2.9,7,5.8,1,5,0,0,1,6.0,4.1,5.1,3.9,8.4,6.4
Product Manager,Senior,11,0.7,Mid (201-1000),Fintech,Hybrid,127126,51,5.5,21,5.2,4,7,0,0,1,2.1,8.1,6.4,5.1,9.4,5.2
DevOps Engineer,Junior,6,4.6,Mid (201-1000),Fintech,Hybrid,40000,45,5.9,10,6.8,0,13,1,1,1,4.9,7.3,4.1,3.0,5.3,7.0
Software Engineer,Manager,15,1.1,Large (1001-5000),Fintech,Remote,149117,51,5.3,19,6.8,1,13,0,0,1,4.5,1.0,5.9,1.0,9.1,5.8
Frontend Developer,Lead,9,2.6,Large (1001-5000),Enterprise Software,Remote,156532,52,8.4,7,5.9,2,22,1,1,1,1.8,6.0,5.9,3.0,9.1,7.0
Full Stack Developer,Junior,13,4.0,Enterprise (5000+),Gaming,Hybrid,46973,53,1.8,27,5.9,0,3,1,0,1,8.5,4.1,4.1,3.4,6.9,5.9
ML Engineer,Junior,2,1.0,Large (1001-5000),Gaming,Hybrid,69093,51,5.1,10,5.3,2,16,0,0,0,5.4,7.7,6.0,5.5,6.2,1.5
ML Engineer,Senior,16,3.8,Small (51-200),Social Media / AdTech,Remote,129620,49,4.6,26,5.7,2,10,0,0,0,4.3,7.8,6.2,2.2,9.4,7.0
Frontend Developer,Manager,3,0.1,Small (51-200),Consulting,Hybrid,40000,51,5.5,26,5.6,1,12,0,0,1,3.8,3.6,3.7,2.6,7.3,2.2
DevOps Engineer,Mid,11,1.3,Enterprise (5000+),Cybersecurity,On-site,68657,51,0.4,25,6.7,1,18,1,0,0,6.8,7.1,4.9,6.1,6.2,2.9
Software Engineer,Senior,0,2.9,Large (1001-5000),E-commerce,On-site,42584,51,6.9,14,3.8,1,7,0,0,1,1.8,6.4,1.0,8.8,6.6,1.0
Software Engineer,Mid,6,4.2,Mid (201-1000),Gaming,Hybrid,85929,40,3.0,6,6.2,1,9,0,0,1,4.8,8.2,6.5,4.7,7.8,4.8
Product Manager,Manager,1,0.5,Enterprise (5000+),E-commerce,Remote,153777,52,6.2,41,6.6,3,1,0,0,1,9.3,6.1,5.5,5.5,6.4,4.7
Software Engineer,Lead,11,0.4,Startup (1-50),Cybersecurity,Hybrid,97098,44,5.4,8,7.8,3,25,0,0,1,9.7,6.3,3.8,8.8,4.9,5.7
DevOps Engineer,Manager,11,3.2,Mid (201-1000),Enterprise Software,Remote,146643,49,4.2,29,7.0,2,25,0,0,0,9.5,6.3,8.1,2.9,9.4,6.6
Backend Developer,Principal,10,1.8,Small (51-200),SaaS / Cloud,Hybrid,133557,50,3.4,18,5.2,3,14,1,0,1,8.4,8.1,6.7,8.6,6.0,8.6
Full Stack Developer,Junior,2,1.9,Small (51-200),Fintech,Hybrid,43728,46,4.1,20,5.8,5,5,0,0,1,8.1,5.5,2.7,6.7,7.7,7.7
DevOps Engineer,Senior,3,2.2,Enterprise (5000+),Healthcare Tech,Hybrid,127368,44,3.1,26,6.1,2,6,0,0,0,6.5,5.8,5.9,3.1,3.2,8.7
QA Engineer,Mid,16,1.7,Large (1001-5000),E-commerce,Hybrid,69412,48,4.2,12,6.7,4,18,0,0,1,4.5,4.8,3.2,4.2,6.2,7.1
Cybersecurity Engineer,Mid,12,1.6,Large (1001-5000),SaaS / Cloud,Hybrid,101867,48,6.1,22,6.3,0,4,0,0,1,5.7,5.1,9.1,3.4,8.1,8.2
Backend Developer,Senior,11,3.9,Mid (201-1000),Healthcare Tech,On-site,92205,46,2.7,14,7.7,0,6,0,0,0,7.8,5.9,6.4,3.6,4.4,2.5
Product Manager,Senior,11,8.7,Small (51-200),Gaming,Hybrid,102447,48,5.7,28,5.9,4,11,1,0,0,7.4,7.1,5.4,8.4,5.1,7.2
Software Engineer,Mid,17,4.0,Mid (201-1000),Enterprise Software,Hybrid,40000,37,2.1,9,6.7,5,20,0,0,1,4.4,2.7,5.7,3.1,6.7,5.5
Data Scientist,Lead,21,0.3,Mid (201-1000),AI / ML Startup,Hybrid,164124,50,8.4,12,6.8,5,23,0,0,0,6.5,3.4,8.0,2.8,6.6,7.3
Data Scientist,Junior,14,8.7,Enterprise (5000+),Fintech,Remote,76416,47,4.2,27,6.9,1,7,1,0,1,5.6,6.6,3.1,6.0,5.7,4.4
Data Analyst,Junior,16,0.7,Large (1001-5000),Social Media / AdTech,Hybrid,46687,49,5.1,5,7.2,5,10,1,0,1,4.4,5.5,1.7,5.9,6.3,6.2
Software Engineer,Mid,17,3.5,Enterprise (5000+),E-commerce,Remote,96323,40,1.2,31,6.7,0,14,0,0,1,3.4,2.1,1.6,1.9,4.2,7.8
Cloud Engineer,Junior,5,2.6,Mid (201-1000),Enterprise Software,On-site,40000,48,2.7,6,5.9,6,16,0,0,1,6.0,6.0,3.8,5.6,6.4,3.2
Full Stack Developer,Lead,6,6.3,Large (1001-5000),Healthcare Tech,Remote,147363,51,6.3,23,7.0,2,8,1,1,1,4.8,6.6,6.3,4.2,5.9,6.2
Frontend Developer,Lead,12,2.6,Small (51-200),Cybersecurity,Hybrid,40000,55,5.0,8,6.9,2,17,1,0,0,4.0,10.0,1.2,6.3,7.1,4.4
Data Analyst,Mid,15,6.6,Mid (201-1000),E-commerce,On-site,60197,42,4.3,27,5.6,2,10,0,0,1,3.6,3.1,4.8,5.9,7.8,5.8
Cybersecurity Engineer,Mid,1,5.8,Small (51-200),Fintech,Remote,91548,38,5.8,23,5.5,4,27,0,0,1,6.5,4.6,3.1,7.4,5.8,7.1
Data Scientist,Lead,0,2.9,Large (1001-5000),Consulting,Hybrid,111126,60,5.6,6,3.7,3,14,0,0,1,6.8,4.7,6.6,5.4,4.8,4.6
Frontend Developer,Senior,12,2.7,Small (51-200),SaaS / Cloud,Hybrid,76881,45,3.3,23,6.2,3,4,1,1,0,6.5,6.3,4.5,3.7,5.9,2.9
Product Manager,Manager,13,7.9,Small (51-200),Enterprise Software,On-site,98709,50,5.0,27,6.9,0,19,1,0,1,4.8,8.1,3.4,6.5,4.0,7.8
Backend Developer,Manager,2,2.5,Large (1001-5000),E-commerce,Remote,104492,47,4.8,13,3.7,5,14,1,0,1,7.4,6.3,5.0,3.7,6.3,3.0
Cloud Engineer,Principal,21,0.3,Mid (201-1000),AI / ML Startup,Hybrid,184033,47,5.0,14,7.1,4,10,1,0,1,5.0,5.2,4.4,5.7,5.5,6.0
Full Stack Developer,Junior,11,0.6,Mid (201-1000),SaaS / Cloud,Remote,40000,49,4.2,7,7.1,1,3,0,0,1,4.6,8.1,4.7,3.8,9.1,7.3
Software Engineer,Senior,8,1.8,Mid (201-1000),Social Media / AdTech,Remote,40000,47,1.7,28,4.5,7,6,0,0,1,1.2,3.8,4.9,6.5,6.8,7.8
Software Engineer,Mid,7,3.2,Mid (201-1000),SaaS / Cloud,Hybrid,57351,52,3.0,17,5.5,0,11,0,0,0,6.1,3.8,5.4,3.6,4.5,2.3
Cybersecurity Engineer,Junior,21,1.0,Small (51-200),AI / ML Startup,Remote,40000,49,6.0,10,6.1,7,13,1,0,1,7.6,4.0,3.1,4.1,7.1,6.4
Backend Developer,Senior,6,6.5,Enterprise (5000+),SaaS / Cloud,On-site,96534,38,5.5,28,5.5,3,4,1,0,0,2.9,2.2,5.7,5.5,7.5,4.9
QA Engineer,Mid,9,3.1,Startup (1-50),E-commerce,Remote,52322,45,5.1,5,5.0,5,22,1,1,0,4.5,3.9,2.3,2.8,3.6,7.3
Data Scientist,Junior,22,4.7,Startup (1-50),SaaS / Cloud,Hybrid,51647,51,4.0,3,6.9,3,11,1,0,0,9.1,6.7,3.4,7.7,7.0,4.4
DevOps Engineer,Mid,0,4.8,Enterprise (5000+),Fintech,Remote,88680,50,0.3,35,6.3,3,17,0,0,1,4.4,5.6,4.3,6.0,8.4,6.8
Software Engineer,Senior,12,1.6,Startup (1-50),Gaming,On-site,122450,49,2.5,2,5.8,2,15,1,1,1,4.2,5.3,5.3,7.3,6.1,4.2
Product Manager,Senior,13,2.3,Small (51-200),Social Media / AdTech,Remote,88641,48,1.5,16,5.8,5,6,0,0,1,3.9,5.3,7.3,5.2,5.4,8.6
Software Engineer,Manager,3,0.8,Mid (201-1000),Fintech,Hybrid,158758,46,3.7,15,5.4,4,6,0,0,1,7.0,6.9,7.1,4.7,8.6,5.4
Software Engineer,Mid,13,0.2,Large (1001-5000),Enterprise Software,Remote,62804,39,2.1,20,5.1,4,9,0,0,0,8.0,9.1,5.1,2.7,5.0,6.5
Backend Developer,Lead,7,0.1,Startup (1-50),Fintech,Hybrid,123646,55,8.5,3,6.8,3,28,0,0,1,6.1,4.5,6.2,7.0,7.4,8.3
ML Engineer,Junior,9,4.8,Mid (201-1000),Fintech,Hybrid,49704,44,5.4,18,5.4,3,13,0,0,1,8.2,4.8,6.7,7.3,2.5,5.5
ML Engineer,Mid,25,0.5,Small (51-200),AI / ML Startup,On-site,87606,50,2.9,21,6.2,0,5,0,0,1,5.6,3.6,6.2,4.5,6.9,5.3
Frontend Developer,Mid,23,3.0,Mid (201-1000),AI / ML Startup,On-site,69366,49,5.9,19,6.5,4,10,0,0,0,6.9,5.1,2.1,7.1,5.0,6.8
Data Scientist,Junior,6,0.1,Enterprise (5000+),Fintech,On-site,51448,49,4.8,29,5.7,4,6,0,0,1,7.2,7.7,3.9,8.0,8.5,7.3
Data Analyst,Mid,0,1.6,Large (1001-5000),Fintech,Hybrid,40000,45,3.6,8,5.2,3,13,0,0,1,7.0,6.5,1.7,3.8,9.4,2.5
QA Engineer,Mid,5,2.9,Mid (201-1000),Consulting,On-site,55609,47,2.0,23,5.0,5,1,0,0,1,6.1,7.0,3.7,3.0,5.7,7.3
Cloud Engineer,Senior,1,1.5,Mid (201-1000),Cybersecurity,Remote,95051,51,1.9,21,6.2,1,4,1,0,1,7.8,1.0,5.3,4.4,6.6,4.8
DevOps Engineer,Manager,22,3.4,Mid (201-1000),Enterprise Software,Remote,119191,46,4.2,13,5.5,5,17,1,0,1,5.2,2.5,8.4,8.1,6.6,4.9
Full Stack Developer,Manager,21,0.3,Mid (201-1000),AI / ML Startup,Hybrid,40000,50,5.0,6,8.6,0,11,1,1,0,3.2,5.7,1.4,4.9,7.2,5.6
Cybersecurity Engineer,Junior,7,4.2,Mid (201-1000),SaaS / Cloud,Hybrid,54865,48,2.5,5,5.7,4,15,0,0,0,5.8,4.6,4.0,6.4,7.4,3.8
Data Scientist,Junior,25,11.0,Mid (201-1000),E-commerce,Hybrid,40000,44,4.3,16,6.8,4,9,0,0,0,6.2,6.0,5.7,2.6,6.1,3.2
Product Manager,Mid,3,1.4,Startup (1-50),Social Media / AdTech,Remote,70454,48,3.0,8,7.2,0,23,0,0,1,5.9,7.1,3.4,5.7,5.3,7.4
Software Engineer,Mid,11,0.1,Large (1001-5000),Fintech,Remote,40000,57,5.6,14,4.5,5,9,0,0,0,2.5,8.1,3.2,4.5,7.8,7.3
Backend Developer,Principal,15,0.7,Mid (201-1000),SaaS / Cloud,On-site,40000,54,3.0,12,6.5,4,6,1,0,1,10.0,9.1,3.4,5.4,8.0,8.2
Data Analyst,Lead,8,3.1,Large (1001-5000),AI / ML Startup,Remote,40000,53,3.8,7,5.0,3,26,1,0,0,3.4,3.4,1.8,4.2,6.1,5.5
Product Manager,Mid,0,3.6,Large (1001-5000),Fintech,Hybrid,100854,39,1.6,13,5.5,2,11,0,0,1,5.0,4.4,6.7,6.7,7.3,5.6
Data Scientist,Mid,8,0.8,Startup (1-50),SaaS / Cloud,Remote,102881,46,2.0,3,6.8,4,11,1,0,0,5.1,5.3,5.5,2.2,4.2,5.9
Backend Developer,Junior,7,0.6,Startup (1-50),Fintech,Hybrid,55223,46,0.4,6,7.3,4,8,0,0,0,9.2,7.4,1.2,7.5,8.6,4.9
Cybersecurity Engineer,Junior,0,1.1,Small (51-200),Gaming,Remote,40000,55,2.4,19,7.1,5,0,0,0,0,4.5,6.2,3.1,3.9,7.6,5.5
Software Engineer,Junior,18,4.2,Small (51-200),Cybersecurity,Hybrid,40000,47,5.2,13,5.6,6,29,0,0,1,3.7,4.7,3.8,6.4,3.8,6.1
Cloud Engineer,Principal,16,4.4,Small (51-200),Healthcare Tech,On-site,166124,52,1.4,8,5.5,4,22,0,0,0,6.4,6.7,5.5,6.3,7.6,7.1
Product Manager,Lead,7,3.1,Startup (1-50),Enterprise Software,Hybrid,40000,53,7.6,8,5.3,4,8,0,0,1,10.0,9.2,4.8,6.2,6.9,7.2
Cloud Engineer,Senior,10,3.9,Mid (201-1000),SaaS / Cloud,On-site,132725,40,4.6,16,5.3,7,11,1,0,1,4.0,9.6,1.5,5.0,5.8,3.7
Software Engineer,Lead,0,2.6,Startup (1-50),Fintech,Remote,108367,45,7.9,2,6.5,0,8,1,1,0,5.7,2.9,1.8,4.2,6.5,5.6
Software Engineer,Lead,4,0.8,Small (51-200),Enterprise Software,Hybrid,95366,52,5.9,25,4.9,4,9,1,1,1,7.4,5.0,3.8,5.9,7.4,7.7
QA Engineer,Lead,16,2.4,Enterprise (5000+),Cybersecurity,Remote,130957,38,6.6,32,5.9,3,8,1,0,0,5.7,1.0,7.1,3.5,4.8,2.9
Cloud Engineer,Mid,0,0.1,Startup (1-50),Healthcare Tech,Hybrid,70553,53,3.0,5,6.7,4,21,0,0,1,3.8,4.3,5.2,3.9,9.7,5.8
Full Stack Developer,Senior,13,0.3,Large (1001-5000),Healthcare Tech,On-site,118696,52,3.6,8,5.0,2,17,1,0,1,3.7,7.8,5.9,5.8,6.9,5.3
Frontend Developer,Mid,9,3.3,Large (1001-5000),SaaS / Cloud,Remote,89890,44,2.5,25,7.3,5,20,0,0,1,6.4,2.8,4.6,5.5,4.6,4.9
DevOps Engineer,Mid,10,0.1,Small (51-200),AI / ML Startup,On-site,40000,41,7.8,12,5.5,5,7,1,1,0,4.4,3.8,4.0,6.8,8.6,4.8
Data Analyst,Mid,1,3.5,Large (1001-5000),Social Media / AdTech,Hybrid,61915,40,5.9,29,7.4,4,12,1,0,1,5.2,9.1,6.5,4.6,9.6,5.9
Data Scientist,Mid,7,0.7,Small (51-200),SaaS / Cloud,Hybrid,99738,48,3.8,17,5.4,4,8,0,0,1,5.6,6.7,7.2,1.8,7.2,6.8
ML Engineer,Senior,23,0.6,Startup (1-50),AI / ML Startup,Remote,40000,50,4.6,3,5.5,2,4,0,0,0,6.4,2.5,5.7,3.6,4.2,5.5
Data Analyst,Principal,0,3.7,Small (51-200),Fintech,Hybrid,84764,51,5.7,19,4.8,2,27,0,0,1,4.7,5.3,5.4,3.4,7.3,1.6
Frontend Developer,Senior,12,1.1,Mid (201-1000),Gaming,On-site,40000,52,4.3,17,7.4,2,17,1,0,1,6.9,5.2,4.2,5.3,6.4,8.0
Cloud Engineer,Senior,13,2.4,Startup (1-50),Consulting,On-site,131309,49,0.0,3,5.5,0,21,1,0,0,1.7,6.0,6.1,6.1,4.6,5.3
Software Engineer,Senior,5,2.6,Large (1001-5000),SaaS / Cloud,Hybrid,91845,55,2.9,12,5.2,2,17,0,0,1,10.0,2.7,4.7,4.5,7.3,5.2
DevOps Engineer,Manager,4,3.1,Small (51-200),E-commerce,On-site,152594,48,5.0,14,6.1,5,8,0,0,0,3.3,7.2,8.3,8.0,2.4,8.0
Software Engineer,Junior,5,0.6,Enterprise (5000+),SaaS / Cloud,On-site,45691,54,2.7,27,3.8,2,1,0,0,1,6.2,5.7,6.4,8.0,6.0,6.1
Backend Developer,Senior,1,0.7,Large (1001-5000),E-commerce,Hybrid,98725,44,3.4,8,5.5,7,11,0,0,1,7.6,5.6,3.9,9.4,8.7,3.1
ML Engineer,Manager,2,0.1,Large (1001-5000),SaaS / Cloud,Remote,45734,51,6.3,14,6.3,2,16,0,0,1,6.9,4.9,10.0,4.5,6.8,6.9
Data Scientist,Mid,15,0.9,Startup (1-50),AI / ML Startup,Hybrid,71078,40,3.9,7,5.7,3,12,0,0,1,6.8,7.2,5.3,5.0,7.8,3.3
QA Engineer,Lead,13,5.9,Large (1001-5000),Fintech,On-site,114360,55,5.0,27,4.7,4,13,1,1,1,7.8,5.5,7.5,2.8,6.4,3.3
Frontend Developer,Senior,0,4.4,Startup (1-50),Gaming,Remote,111597,48,0.0,8,6.4,5,18,0,0,1,2.9,6.3,4.7,6.7,7.4,6.0
Data Scientist,Mid,11,4.8,Enterprise (5000+),Consulting,On-site,116335,48,5.7,35,5.9,3,15,1,1,1,6.2,3.6,5.9,4.5,7.3,3.1
Data Analyst,Mid,5,0.2,Enterprise (5000+),Fintech,Remote,72949,56,3.1,21,5.2,5,10,1,0,0,5.6,4.9,3.9,6.5,5.8,6.5
Full Stack Developer,Junior,12,15.0,Mid (201-1000),Cybersecurity,Remote,51642,49,3.9,14,4.7,4,3,0,0,1,4.6,5.3,4.2,3.2,4.2,4.3
Frontend Developer,Junior,18,0.1,Mid (201-1000),SaaS / Cloud,Hybrid,70284,45,3.1,22,4.9,4,9,0,0,1,4.9,4.9,1.2,5.2,6.6,7.2
Cybersecurity Engineer,Senior,18,0.8,Mid (201-1000),Fintech,Hybrid,114598,52,5.6,13,6.1,3,9,0,0,0,4.4,5.5,8.2,4.7,5.9,7.5
ML Engineer,Senior,13,0.4,Mid (201-1000),AI / ML Startup,Hybrid,142908,47,6.1,24,5.8,4,19,1,0,1,5.3,7.6,6.7,6.5,5.0,9.2
Software Engineer,Mid,0,0.1,Large (1001-5000),E-commerce,Hybrid,62244,42,1.4,16,5.7,6,0,0,0,1,5.8,4.5,5.5,7.7,10.0,6.9
Software Engineer,Junior,3,1.8,Mid (201-1000),E-commerce,Hybrid,45628,55,5.0,25,6.9,4,13,0,0,1,6.6,5.6,4.7,5.9,5.8,5.7
ML Engineer,Manager,4,0.9,Startup (1-50),Consulting,On-site,111658,35,7.1,2,6.2,3,7,0,0,1,8.1,4.8,9.3,4.9,4.8,7.8
Data Scientist,Junior,14,1.1,Small (51-200),E-commerce,Remote,52863,35,2.6,25,5.1,3,5,0,0,1,9.9,7.1,4.9,4.2,6.6,6.1
DevOps Engineer,Mid,25,1.1,Mid (201-1000),Consulting,Hybrid,81297,48,2.1,9,5.0,1,3,0,0,1,7.1,5.0,5.7,2.0,8.8,3.1
Data Scientist,Senior,24,4.1,Small (51-200),Gaming,On-site,112015,39,6.0,25,6.2,1,11,0,0,1,5.7,3.5,6.7,6.7,6.1,6.2
Backend Developer,Mid,7,1.1,Mid (201-1000),AI / ML Startup,Remote,40000,45,4.1,19,7.3,5,2,0,0,1,3.1,4.3,3.3,6.8,8.3,6.2
Product Manager,Manager,16,5.3,Small (51-200),SaaS / Cloud,Hybrid,168627,50,6.2,14,7.5,0,25,1,0,1,6.2,5.3,5.7,4.8,6.8,3.8
Software Engineer,Manager,9,1.6,Small (51-200),Enterprise Software,Remote,108676,43,6.0,10,5.8,3,12,0,0,1,5.6,2.3,7.2,4.7,6.6,7.1
Software Engineer,Senior,16,0.8,Startup (1-50),Fintech,Remote,115008,35,4.6,3,6.8,2,13,0,0,0,8.5,2.8,9.1,4.4,5.4,5.8
Software Engineer,Senior,9,4.0,Startup (1-50),Consulting,On-site,106206,43,3.4,6,7.4,0,15,0,0,0,8.4,4.2,2.9,4.0,10.0,7.3
Cybersecurity Engineer,Mid,8,5.4,Startup (1-50),Healthcare Tech,Hybrid,55957,39,5.2,3,4.9,2,10,0,0,1,9.0,7.1,2.5,3.9,4.9,6.4
Data Analyst,Lead,3,0.5,Small (51-200),Consulting,Hybrid,40000,44,7.8,8,7.2,3,10,1,1,1,8.4,6.6,1.0,7.0,6.9,2.9
Data Analyst,Mid,5,1.4,Mid (201-1000),Cybersecurity,Remote,40000,44,4.5,22,4.0,1,11,0,0,1,4.2,5.4,4.6,4.2,5.2,9.9
Cloud Engineer,Mid,7,7.8,Startup (1-50),AI / ML Startup,Remote,74796,49,2.4,3,6.8,1,12,1,0,1,9.1,6.1,4.8,1.2,7.6,8.6
ML Engineer,Manager,10,1.5,Startup (1-50),Cybersecurity,Remote,113780,53,4.3,8,5.1,4,13,1,1,1,9.4,4.2,6.3,5.7,5.4,5.4
Product Manager,Lead,6,1.1,Large (1001-5000),Cybersecurity,Hybrid,168310,49,6.5,19,5.2,5,14,1,0,0,8.2,8.9,4.0,5.8,5.3,6.4
Cloud Engineer,Lead,1,0.1,Startup (1-50),Fintech,Remote,40000,54,5.7,5,7.0,1,1,0,0,1,3.2,4.3,7.9,4.8,7.2,8.2
Data Scientist,Senior,5,2.5,Large (1001-5000),SaaS / Cloud,On-site,59441,43,4.1,17,7.4,3,17,0,0,1,3.6,3.6,6.4,7.8,4.3,6.7
Software Engineer,Senior,5,2.9,Mid (201-1000),SaaS / Cloud,Hybrid,40000,50,2.6,29,6.5,3,13,1,1,1,7.8,7.0,5.0,6.8,6.1,5.1
Backend Developer,Senior,5,5.6,Large (1001-5000),Enterprise Software,On-site,104537,50,6.4,8,5.1,4,5,0,0,0,7.7,2.4,5.9,6.3,4.0,9.0
ML Engineer,Lead,18,0.3,Enterprise (5000+),E-commerce,On-site,55591,50,5.4,34,7.0,1,12,1,0,1,8.6,6.0,2.6,7.8,5.7,7.1
Product Manager,Manager,6,0.1,Enterprise (5000+),Fintech,On-site,105423,45,6.3,21,4.6,3,11,0,0,1,4.3,4.3,4.4,5.1,7.0,6.3
Data Analyst,Mid,2,3.8,Small (51-200),AI / ML Startup,Hybrid,49124,47,4.8,21,5.6,3,11,0,0,1,2.5,5.2,3.4,5.6,4.6,6.0
Frontend Developer,Mid,16,0.6,Large (1001-5000),Cybersecurity,Remote,40000,45,5.3,23,8.9,0,5,1,0,0,7.3,2.7,4.7,7.6,2.0,7.4
Data Analyst,Junior,2,2.0,Small (51-200),Fintech,On-site,52371,40,1.9,15,7.5,1,17,0,0,1,6.5,2.7,1.9,6.7,9.4,6.2
DevOps Engineer,Mid,17,2.2,Mid (201-1000),Fintech,Remote,94002,50,2.0,24,5.2,0,2,0,0,1,7.3,4.5,3.9,4.3,5.6,6.5
Software Engineer,Junior,5,3.8,Large (1001-5000),SaaS / Cloud,Remote,52435,37,3.8,14,5.9,6,21,0,0,1,4.9,4.2,4.0,6.3,6.7,8.9
Frontend Developer,Manager,11,0.3,Large (1001-5000),AI / ML Startup,Hybrid,96138,50,7.5,23,8.7,2,16,0,0,0,3.7,4.6,7.0,5.8,7.5,6.8
Frontend Developer,Lead,10,3.7,Mid (201-1000),Social Media / AdTech,Hybrid,100060,57,5.8,7,5.3,4,30,1,1,1,6.4,6.8,8.6,4.6,9.5,6.9
Data Analyst,Mid,16,0.3,Startup (1-50),SaaS / Cloud,Hybrid,53553,44,2.1,5,5.9,4,0,0,0,1,7.3,3.6,2.2,1.8,6.3,4.3
Data Analyst,Mid,7,2.3,Large (1001-5000),AI / ML Startup,Hybrid,74659,54,4.0,17,6.7,2,6,0,0,1,5.9,6.8,1.8,4.2,7.1,6.4
Backend Developer,Junior,10,2.3,Mid (201-1000),Cybersecurity,On-site,58228,42,1.2,23,7.2,2,22,0,0,1,3.3,2.9,3.4,6.1,6.8,5.5
Backend Developer,Lead,11,0.7,Enterprise (5000+),Fintech,Hybrid,54862,47,7.9,21,5.6,3,21,0,0,1,6.0,6.3,1.8,6.1,7.1,3.5
